2024,2023,Name,Country,2024 - USD,2023 - USD,2024,2023
1,1,Itaú,Brazil,8333.82,8716.54,AA+,AAA-
2,3,"Banco do Brasil",Brazil,5454.03,4903.62,AA+,AAA-
3,2,Bradesco,Brazil,5013.79,5091.84,AA,AAA-
4,4,Petrobras,Brazil,3400.86,3906.63,AA+,AAA
5,6,Vale,Brazil,3001.33,2179.62,AAA-,AA-
6,5,Caixa,Brazil,2862.19,3090.4,AA+,AAA-
7,16,Localiza,Brazil,2302.65,1213.96,AA+,AA-
8,9,Brahma,Brazil,1962.3,1641.52,AAA-,AAA-
9,7,Natura,Brazil,1950.21,1994.16,AAA,AAA
10,8,"Skol (AB InBev)",Brazil,1902.13,1777.89,AA+,AAA-
11,10,Sadia,Brazil,0,0,,
12,11,Vivo,Brazil,0,0,,
13,21,"REDE D'OR SÃO LUIZ",Brazil,0,0,,
14,18,Nubank,Brazil,0,0,,
15,15,Marfrig,Brazil,0,0,,
16,17,"LATAM Airlines",Brazil,0,0,,
17,13,"Assai Atacadista",Brazil,0,0,,
18,12,Raizen,Brazil,0,0,,
19,20,Magalu,Brazil,0,0,,
20,19,Antarctica,Brazil,0,0,,
21,28,Suzano,Brazil,0,0,,
22,27,Ipiranga,Brazil,0,0,,
23,23,Embraer,Brazil,0,0,,
24,24,Braskem,Brazil,0,0,,
25,14,Atacadão,Brazil,0,0,,
26,32,Unidas,Brazil,0,0,,
27,33,Sabesp,Brazil,0,0,,
28,26,Klabin,Brazil,0,0,,
29,25,movida,Brazil,0,0,,
30,38,"Pagseguro Digital",Brazil,0,0,,
31,31,Renner,Brazil,0,0,,
32,,Camil,Brazil,0,NaN,,
33,37,Votorantim,Brazil,0,0,,
34,36,Globo,Brazil,0,0,,
35,30,Vibra,Brazil,0,0,,
36,35,"Xp Inc",Brazil,0,0,,
37,39,BNDES,Brazil,0,0,,
38,42,Gerdau,Brazil,0,0,,
39,41,Porto,Brazil,0,0,,
40,34,Itambé,Brazil,0,0,,
41,40,SmartFit,Brazil,0,0,,
42,61,Minerva,Brazil,0,0,,
43,,Stone,Brazil,0,NaN,,
44,49,Perdigão,Brazil,0,0,,
45,44,Neoenergia,Brazil,0,0,,
46,45,"Hapvida Participacoes e Investimentos",Brazil,0,0,,
47,47,B3,Brazil,0,0,,
48,50,"Sul América",Brazil,0,0,,
49,54,Ypióca,Brazil,0,0,,
50,,"Banco Pan",Brazil,0,NaN,,
51,46,Schin,Brazil,0,0,,
52,53,"Banco Safra",Brazil,0,0,,
53,58,CSN,Brazil,0,0,,
54,52,Azul,Brazil,0,0,,
55,69,"Banco do Nordeste",Brazil,0,0,,
56,68,"BTG Pactual",Brazil,0,0,,
57,43,Cielo,Brazil,0,0,,
58,71,"CPFL Energia",Brazil,0,0,,
59,,Frimesa,Brazil,0,NaN,,
59,57,Eletrobras,Brazil,0,0,,
61,48,Oi,Brazil,0,0,,
62,62,Qualy,Brazil,0,0,,
63,65,"Bb Seguridade Pa",Brazil,0,0,,
64,70,Cemig,Brazil,0,0,,
65,66,Gol,Brazil,0,0,,
66,67,Raia,Brazil,0,0,,
67,73,Havan,Brazil,0,0,,
68,87,"Pao de Acucar",Brazil,0,0,,
69,79,Equatorial,Brazil,0,0,,
70,72,AREZZO,Brazil,0,0,,
71,59,Kaiser,Brazil,0,0,,
72,76,Pullman,Brazil,0,0,,
73,55,"Banco Votorantim",Brazil,0,0,,
74,,"Energisa S.A.",Brazil,0,NaN,,
75,80,Seara,Brazil,0,0,,
76,75,Copersucar,Brazil,0,0,,
77,77,Drogasil,Brazil,0,0,,
78,81,"Totvs Sa",Brazil,0,0,,
79,51,Havaianas,Brazil,0,0,,
80,74,Banrisul,Brazil,0,0,,
81,64,"Grupo Big",Brazil,0,0,,
82,78,Copel,Brazil,0,0,,
83,84,Bohemia,Brazil,0,0,,
84,,Daycoval,Brazil,0,NaN,,
85,86,Maguary,Brazil,0,0,,
86,83,Comgas,Brazil,0,0,,
87,89,Correios,Brazil,0,0,,
88,88,Riachuelo,Brazil,0,0,,
89,91,"Drogaria São Paulo ",Brazil,0,0,,
90,93,Estacio,Brazil,0,0,,
91,,Extra,Brazil,0,NaN,,
92,85,"Pague Menos",Brazil,0,0,,
93,,BRB,Brazil,0,NaN,,
94,90,Consul,Brazil,0,0,,
95,97,CCR,Brazil,0,0,,
96,,Hering,Brazil,0,NaN,,
97,100,Duratex,Brazil,0,0,,
98,,BMG,Brazil,0,NaN,,
99,,Elektro,Brazil,0,NaN,,
100,92,Batavo,Brazil,0,0,,
